Metric,P10,P25,P50,P75,P90,Mean,Std
return_on_equity_pct,8.518262134493389,12.78566503392866,16.274382099938578,23.68722491165997,45.480520731598716,114.20578339625692,608.2827198827933
return_on_capital_employed_pct,3.486832694091737,10.509450889620167,19.176070657886214,32.98011813280762,116.95829563720628,178.9087685070042,777.5653018797829
debt_to_equity,0.015988026101699093,0.06964730287322692,0.4377912621592087,1.5234755900828538,6.426987812145864,1.5976262020103271,2.7648280642074208
revenue_cagr_5yr,6.389,8.705,12.030000000000001,16.9175,20.982,12.92915,7.0481099642515375
fcf_cagr_5yr,-8.34,-7.36,10.03,18.939999999999998,32.355000000000004,11.3403,29.353156308353388
operating_profit_margin_pct,10.090299825184278,17.449458264185935,26.006450869504782,37.75535727595274,83.70491547444544,34.030771373005585,26.34516016506396
net_profit_margin_pct,4.603437169592351,7.24774515132234,13.8402390379738,20.016546432473618,28.953140233435843,19.314745583008524,43.40829056132587
interest_coverage,1.608623770508459,3.4248502477229303,12.34722222222222,56.09016727866177,177.99123809523817,117.53593342333018,466.6315784610798
asset_turnover,0.07228080311087043,0.2053943414307379,0.6788531553398058,1.129760329363329,1.6486121676968797,3.4374327237392936,15.680968614252059
composite_quality_score,2.0,2.0,3.0,4.0,5.0,3.19,1.178039803138153
